idno,Event,Site,Date,Round,WhitePlayer,BlackPlayer,Result,WhiteELO,BlackELO,ECO,WhiteRooks7th,BlackRooks7th,Caro,Slav
45215453, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Johner Paul F, -1, ?, ?, C31, 0, 0, 0, 0, 
57849453, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Leonhardt Paul Saladin, -1, ?, ?, B40, 0, 0, 0, 0, 
47223438, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Levenfish Grigory, 0, ?, ?, C82, 0, 0, 0, 0, 
74685892, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Rotlewi Georg A, 1, ?, ?, C77, 0, 0, 0, 0, 
64099933, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Salwe Georg, 0, ?, ?, C53, 0, 0, 0, 0, 
36254324, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Schlechter Carl, -1, ?, ?, B01, 0, 0, 0, 0, 
93458875, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Tartakower Saviely, 1, ?, ?, D30, 0, 0, 0, 0, 
71958173, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Teichmann Richard, -1, ?, ?, C84, 0, 0, 0, 0, 
99410427, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Vidmar Milan Sr, 1, ?, ?, C49, 0, 0, 0, 0, 
38793615, Karlsbad, Karlsbad, 1911.??.??, ?, Burn Amos, Alekhine Alexander, 1, ?, ?, C13, 0, 0, 0, 0, 
34842048, Karlsbad, Karlsbad, 1911.??.??, ?, Duras Oldrich, Alekhine Alexander, -1, ?, ?, D46, 0, 0, 0, 0, 
16794550, Karlsbad, Karlsbad, 1911.??.??, ?, Jaffe Charles, Alekhine Alexander, -1, ?, ?, C27, 0, 0, 0, 0, 
76117603, Karlsbad, Karlsbad, 1911.??.??, ?, Kostic Boris, Alekhine Alexander, -1, ?, ?, D46, 0, 0, 0, 0, 
10390334, Karlsbad, Karlsbad, 1911.??.??, ?, Marshall Frank James, Alekhine Alexander, 0, ?, ?, D05, 0, 0, 0, 1, 
86943961, Karlsbad, Karlsbad, 1911.??.??, ?, Alapin Simon, Alekhine Alexander, -1, ?, ?, C42, 0, 0, 0, 0, 
80460023, Karlsbad, Karlsbad, 1911.??.??, ?, Nimzowitsch Aaron , Alekhine Alexander, 0, ?, ?, C62, 0, 0, 0, 0, 
59564477, Karlsbad, Karlsbad, 1911.??.??, ?, Perlis Julius, Alekhine Alexander, 1, ?, ?, C49, 0, 0, 0, 0, 
92605593, Karlsbad, Karlsbad, 1911.??.??, ?, Rabinovich Abram, Alekhine Alexander, 1, ?, ?, B12, 0, 0, 0, 0, 
31368134, Karlsbad, Karlsbad, 1911.??.??, ?, Rubinstein Akiba, Alekhine Alexander, 1, ?, ?, D15, 0, 0, 0, 0, 
99409524, Karlsbad, Karlsbad, 1911.??.??, ?, Spielmann Rudolf, Alekhine Alexander, 1, ?, ?, B15, 0, 0, 0, 0, 
88046710, Karlsbad, Karlsbad, 1911.??.??, ?, Suechting Hugo, Alekhine Alexander, -1, ?, ?, C07, 0, 0, 0, 0, 
99648512, Stockholm, Stockholm, 1912.??.??, ?, Nyholm Gustaf, Alekhine Alexander, -1, ?, ?, C44, 0, 0, 0, 0, 
32750123, Stockholm, Stockholm, 1912.??.??, ?, Spielmann Rudolf, Alekhine Alexander, -1, ?, ?, C24, 0, 0, 0, 0, 
80564762, Stockholm, Stockholm, 1912.??.??, 1, Sjoberg Victor, Alekhine Alexander, -1, ?, ?, A85, 0, 0, 0, 0, 
28371497, Stockholm, Stockholm, 1912.??.??, 2, Alekhine Alexander, Marco Georg, 1, ?, ?, C41, 0, 0, 0, 0, 
42812865, Stockholm, Stockholm, 1912.??.??, 3, Fridlizius J., Alekhine Alexander, 1, ?, ?, C77, 0, 0, 0, 0, 
48086025, Stockholm, Stockholm, 1912.??.??, 4, Alekhine Alexander, Cohn Erich, 1, ?, ?, C45, 0, 0, 0, 0, 
47615411, Stockholm, Stockholm, 1912.??.??, 5, Langborg H., Alekhine Alexander, -1, ?, ?, C53, 0, 0, 0, 0, 
76724641, Stockholm, Stockholm, 1912.??.??, 7, Alekhine Alexander, Olland Adolf Georg, 1, ?, ?, C01, 0, 0, 0, 0, 
97592875, Stockholm, Stockholm, 1912.??.??, 9, Alekhine Alexander, Englund Fritz, 0, ?, ?, C00, 0, 0, 0, 0, 
54084736, Stockholm, Stockholm, 1912.??.??, 11, Alekhine Alexander, Giersing Johannes Hjalmar, 1, ?, ?, C00, 0, 0, 0, 0, 
92649638, RUS-ch, Vilnius, 1912.??.??, ?, Rabinovich Abram, Alekhine Alexander, -1, ?, ?, B40, 0, 0, 0, 0, 
91371078, RUS-ch, Vilnius, 1912.??.??, ?, Bernstein Ossip, Alekhine Alexander, -1, ?, ?, D94, 0, 0, 0, 0, 
25771070, RUS-ch, Vilnius, 1912.??.??, ?, Nimzowitsch Aaron , Alekhine Alexander, -1, ?, ?, D02, 0, 0, 0, 0, 
4865926, RUS-ch, Vilnius, 1912.??.??, ?, Levenfish Grigory, Alekhine Alexander, -1, ?, ?, C77, 0, 0, 0, 0, 
6381262, RUS-ch, Vilnius, 1912.??.??, ?, Alekhine Alexander, Bernstein Ossip, 1, ?, ?, B85, 0, 0, 1, 0, 
17196911, RUS-ch, Vilnius, 1912.??.??, ?, Alekhine Alexander, Levitsky Stepan M, -1, ?, ?, A25, 0, 0, 0, 0, 
17127094, RUS-ch, Vilnius, 1912.??.??, 1, Alekhine Alexander, Nimzowitsch Aaron , 0, ?, ?, A46, 0, 0, 0, 0, 
13140591, RUS-ch, Vilnius, 1912.??.??, 5, Alekhine Alexander, Rubinstein Akiba, -1, ?, ?, C83, 0, 0, 0, 0, 
26376461, RUS-ch, Vilnius, 1912.??.??, 6, Salwe Georg, Alekhine Alexander, -1, ?, ?, A47, 0, 0, 0, 0, 
99957622, RUS-ch, Vilnius, 1912.??.??, 7, Alekhine Alexander, Levenfish Grigory, 1, ?, ?, B41, 0, 0, 0, 0, 
4742247, RUS-ch, Vilnius, 1912.??.??, 8, Von Freyman Sergey, Alekhine Alexander, 1, ?, ?, A85, 0, 0, 0, 0, 
19659327, RUS-ch, Vilnius, 1912.??.??, 9, Alekhine Alexander, Alapin Simon, -1, ?, ?, C00, 0, 0, 0, 0, 
19604514, RUS-ch, Vilnius, 1912.??.??, 19, Alekhine Alexander, Von Freyman Sergey, 0, ?, ?, C48, 0, 0, 0, 0, 
14920169, Paris, Paris, 1913.??.??, ?, Rodzinski, Alekhine Alexander, -1, ?, ?, C50, 0, 0, 0, 0, 
12344069, Paris mt, Paris, 1913.??.??, 1, Lasker Edward, Alekhine Alexander, -1, ?, ?, C46, 0, 0, 0, 0, 
39954936, Paris mt, Paris, 1913.??.??, 2, Alekhine Alexander, Lasker Edward, 1, ?, ?, C28, 0, 0, 0, 0, 
54800602, Paris mt, Paris, 1913.??.??, 3, Lasker Edward, Alekhine Alexander, -1, ?, ?, A82, 0, 0, 0, 0, 
37836907, Scheveningen, Scheveningen, 1913.??.??, ?, Alekhine Alexander, Breyer Gyula, 1, ?, ?, D68, 0, 0, 0, 0, 
180867, Scheveningen, Scheveningen, 1913.??.??, ?, Alekhine Alexander, Englund Fritz, 1, ?, ?, D00, 0, 0, 0, 0, 
18554594, Scheveningen, Scheveningen, 1913.??.??, ?, Alekhine Alexander, Geus K., 1, ?, ?, C01, 0, 0, 0, 0, 
84198507, Scheveningen, Scheveningen, 1913.??.??, ?, Alekhine Alexander, Janowsky Dawid Markelowicz, 1, ?, ?, D68, 0, 0, 0, 0, 
27391465, Scheveningen, Scheveningen, 1913.??.??, ?, Alekhine Alexander, Schelfhout Willem, 1, ?, ?, C25, 0, 0, 0, 0, 
75014433, Scheveningen, Scheveningen, 1913.??.??, ?, Alekhine Alexander, Te Kolste Jan Willem, 1, ?, ?, A54, 0, 1, 0, 0, 
6078615, Scheveningen, Scheveningen, 1913.??.??, ?, Yates Frederick, Alekhine Alexander, 0, ?, ?, C91, 0, 0, 0, 0, 
7006211, Scheveningen, Scheveningen, 1913.??.??, ?, Lasker Edward, Alekhine Alexander, -1, ?, ?, C46, 0, 0, 0, 0, 
75697814, Scheveningen, Scheveningen, 1913.??.??, ?, Loman Rudolf, Alekhine Alexander, -1, ?, ?, C84, 0, 0, 0, 0, 
8821987, Scheveningen, Scheveningen, 1913.??.??, ?, Mieses Jacques, Alekhine Alexander, -1, ?, ?, C22, 0, 1, 0, 0, 
99813192, Scheveningen, Scheveningen, 1913.??.??, ?, Olland Adolf Georg, Alekhine Alexander, -1, ?, ?, C61, 0, 0, 0, 0, 
7547200, Scheveningen, Scheveningen, 1913.??.??, ?, Speijer Abraham, Alekhine Alexander, -1, ?, ?, C41, 0, 0, 0, 0, 
77244547, St Petersburg exhibition, St Petersburg, 1913.??.??, ?, Capablanca Jose Raul, Alekhine Alexander, 1, ?, ?, D30, 0, 0, 0, 0, 
93702473, St Petersburg exhibition, St Petersburg, 1913.??.??, ?, Alekhine Alexander, Capablanca Jose Raul, -1, ?, ?, C90, 0, 0, 0, 0, 
15706585, St Petersburg, St Petersburg, 1913.??.??, ?, Alekhine Alexander, Bogoljubow Efim, -1, ?, ?, C64, 0, 0, 0, 0, 
76756595, St Petersburg, St Petersburg, 1913.??.??, ?, Loewenfisch Grigori, Alekhine Alexander, 1, ?, ?, A46, 0, 0, 0, 0, 
2101688, St Petersburg m, St Petersburg, 1913.??.??, 1, Levitsky Stepan M, Alekhine Alexander, -1, ?, ?, C33, 0, 0, 0, 0, 
99869123, St Petersburg, St Petersburg, 1913.??.??, 1, Alekhine Alexander, Lowcki Moishe Leopoldowicz, -1, ?, ?, A85, 0, 0, 0, 0, 
75762050, St Petersburg, St Petersburg, 1913.??.??, 1, Alekhine Alexander, Duras Oldrich, 1, ?, ?, C77, 0, 0, 0, 0, 
55058932, St Petersburg m, St Petersburg, 1913.??.??, 2, Alekhine Alexander, Levitsky Stepan M, 1, ?, ?, C33, 0, 0, 0, 0, 
85398278, St Petersburg m, St Petersburg, 1913.??.??, 3, Levitsky Stepan M, Alekhine Alexander, -1, ?, ?, C50, 0, 0, 0, 0, 
64116629, St Petersburg m, St Petersburg, 1913.??.??, 4, Alekhine Alexander, Levitsky Stepan M, -1, ?, ?, C26, 0, 0, 0, 0, 
4299879, St Petersburg m, St Petersburg, 1913.??.??, 5, Levitsky Stepan M, Alekhine Alexander, 1, ?, ?, C22, 0, 0, 0, 0, 
37776695, St Petersburg m, St Petersburg, 1913.??.??, 6, Alekhine Alexander, Levitsky Stepan M, 1, ?, ?, C25, 0, 0, 0, 0, 
70646498, St Petersburg m, St Petersburg, 1913.??.??, 7, Levitsky Stepan M, Alekhine Alexander, 1, ?, ?, C50, 0, 0, 0, 0, 
28327159, St Petersburg m, St Petersburg, 1913.??.??, 8, Alekhine Alexander, Levitsky Stepan M, 1, ?, ?, C27, 0, 0, 0, 0, 
90233949, St Petersburg m, St Petersburg, 1913.??.??, 9, Levitsky Stepan M, Alekhine Alexander, -1, ?, ?, C44, 0, 0, 0, 0, 
80731162, St Petersburg m, St Petersburg, 1913.??.??, 10, Alekhine Alexander, Levitsky Stepan M, 1, ?, ?, C23, 0, 0, 0, 0, 
28727930, St Petersburg, St Petersburg, 1913.??.??, 11, Freymann S., Alekhine Alexander, -1, ?, ?, D30, 0, 0, 0, 0, 
81268907, St Petersburg, St Petersburg, 1913.??.??, 12, Alekhine Alexander, Gregory Bernhard, -1, ?, ?, D00, 0, 0, 0, 0, 
71699074, DSB-19.Kongress, Mannheim, 1914.??.??, 1, Duras Oldrich, Alekhine Alexander, -1, ?, ?, C68, 0, 0, 0, 0, 
8874583, DSB-19.Kongress, Mannheim, 1914.??.??, 2, Alekhine Alexander, Krueger Paul, 0, ?, ?, C12, 0, 0, 0, 0, 
68230510, DSB-19.Kongress, Mannheim, 1914.??.??, 3, Post Ehrhardt, Alekhine Alexander, -1, ?, ?, C68, 0, 0, 0, 0, 
55015992, DSB-19.Kongress, Mannheim, 1914.??.??, 4, Alekhine Alexander, Breyer Gyula, 1, ?, ?, C50, 0, 0, 0, 0, 
88975746, DSB-19.Kongress, Mannheim, 1914.??.??, 5, Carls Carl Johan Margot, Alekhine Alexander, -1, ?, ?, A13, 0, 0, 0, 0, 
74234821, DSB-19.Kongress, Mannheim, 1914.??.??, 6, Janowsky Dawid Markelowicz, Alekhine Alexander, 1, ?, ?, A46, 0, 0, 0, 0, 
19107417, DSB-19.Kongress, Mannheim, 1914.??.??, 7, Alekhine Alexander, Bogoljubow Efim, 1, ?, ?, C26, 0, 0, 0, 0, 
87154807, DSB-19.Kongress, Mannheim, 1914.??.??, 8, Flamberg Aleksander Dawidow, Alekhine Alexander, -1, ?, ?, C83, 0, 0, 0, 0, 
534494, DSB-19.Kongress, Mannheim, 1914.??.??, 9, Alekhine Alexander, Tarrasch Siegbert, 1, ?, ?, C53, 0, 0, 0, 0, 
26811598, DSB-19.Kongress, Mannheim, 1914.??.??, 10, Mieses Jacques, Alekhine Alexander, -1, ?, ?, C50, 0, 0, 0, 0, 
87525927, DSB-19.Kongress, Mannheim, 1914.??.??, 11, Alekhine Alexander, Fahrni Hans, 1, ?, ?, C13, 0, 0, 0, 0, 
8935255, St Petersburg f, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Lasker Emanuel, -1, ?, ?, C68, 0, 0, 0, 0, 
49150042, St Petersburg prel, St Petersburg, 1914.??.??, ?, Nimzowitsch Aaron , Alekhine Alexander, 0, ?, ?, C02, 0, 0, 0, 0, 
69425877, St Petersburg prel, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Bernstein Ossip, 0, ?, ?, C66, 0, 0, 0, 0, 
67036981, St Petersburg prel, St Petersburg, 1914.??.??, ?, Tarrasch Siegbert, Alekhine Alexander, 0, ?, ?, C01, 0, 0, 0, 0, 
42195286, St Petersburg prel, St Petersburg, 1914.??.??, ?, Rubinstein Akiba, Alekhine Alexander, -1, ?, ?, E43, 0, 0, 0, 0, 
72226475, St Petersburg prel, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Marshall Frank James, 1, ?, ?, C42, 0, 0, 0, 0, 
8865261, St Petersburg prel, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Janowsky Dawid Markelowicz, 0, ?, ?, C01, 0, 0, 0, 0, 
96305716, St Petersburg prel, St Petersburg, 1914.??.??, ?, Lasker Emanuel, Alekhine Alexander, 0, ?, ?, B01, 0, 0, 0, 0, 
54731920, St Petersburg prel, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Capablanca Jose Raul, -1, ?, ?, C66, 0, 0, 0, 0, 
81531167, St Petersburg prel, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Blackburne Joseph Henry, 0, ?, ?, C61, 0, 0, 0, 0, 
37461529, St Petersburg prel, St Petersburg, 1914.??.??, ?, Gunsberg Isidor, Alekhine Alexander, -1, ?, ?, C53, 0, 0, 0, 0, 
5291633, St Petersburg f, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Capablanca Jose Raul, 0, ?, ?, C48, 0, 0, 0, 0, 
36512928, St Petersburg, St Petersburg, 1914.??.??, ?, Lebedev Sergey Fedorovich, Alekhine Alexander, -1, ?, ?, A80, 0, 0, 0, 0, 
80745033, St Petersburg f, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Marshall Frank James, 0, ?, ?, C49, 0, 0, 0, 0, 
72847361, St Petersburg f, St Petersburg, 1914.??.??, ?, Alekhine Alexander, Tarrasch Siegbert, 1, ?, ?, C32, 0, 0, 0, 0, 
79310304, St Petersburg f, St Petersburg, 1914.??.??, ?, Capablanca Jose Raul, Alekhine Alexander, 1, ?, ?, C11, 0, 0, 0, 0, 
62369956, St Petersburg f, St Petersburg, 1914.??.??, ?, Marshall Frank James, Alekhine Alexander, -1, ?, ?, C12, 0, 0, 0, 0, 
90823583, St Petersburg f, St Petersburg, 1914.??.??, ?, Lasker Emanuel, Alekhine Alexander, 1, ?, ?, D08, 0, 0, 0, 0, 
30952391, St Petersburg f, St Petersburg, 1914.??.??, ?, Tarrasch Siegbert, Alekhine Alexander, -1, ?, ?, C12, 0, 0, 0, 0, 
50937067, St Petersburg, St Petersburg, 1914.??.??, 3, Flamberg Aleksander Dawidow, Alekhine Alexander, -1, ?, ?, C84, 0, 0, 0, 0, 
8484246, St Petersburg, St Petersburg, 1914.??.??, 5, Salwe Georg, Alekhine Alexander, -1, ?, ?, D40, 0, 0, 0, 0, 
24042559, St Petersburg, St Petersburg, 1914.??.??, 6, Alekhine Alexander, Levitsky Stepan M, 1, ?, ?, C43, 0, 0, 0, 0, 
69728402, St Petersburg, St Petersburg, 1914.??.??, 8, Alekhine Alexander, Loewenfisch Grigori, 1, ?, ?, C77, 0, 0, 0, 0, 
61633184, St Petersburg, St Petersburg, 1914.??.??, 10, Alekhine Alexander, Nimzowitsch Aaron , 1, ?, ?, C82, 0, 0, 0, 0, 
58534110, St Petersburg, St Petersburg, 1914.??.??, 15, Znosko Borovsky Eugene , Alekhine Alexander, -1, ?, ?, C50, 0, 0, 0, 0, 
33109747, St Petersburg, St Petersburg, 1914.??.??, 17, Alapin Simon, Alekhine Alexander, -1, ?, ?, C77, 0, 0, 0, 0, 
13527638, Stockholm sim, Stockholm, 1914.??.??, ?, Beskov K., Alekhine Alexander, 0, ?, ?, C01, 0, 0, 0, 0, 
